Transaction_ID,Transaction_Date,Store_ID,Number_of_EMI,Purchased_in_Sale,Var1,Var2,Var3,Client_ID,Gender,DOB,Referred_Friend,Sales_Executive_ID,Sales_Executive_Category,Lead_Source_Category,Payment_Mode,Product_Category,Transaction_Amount
TRA98824399,1-Jan-03,STO1250,2,N,1,1,1,345744302,M,14-May-80,NO,SD23001459,A,Walkin,Credit/Debit Card,Cat B,23400
TRA98825677,1-Jan-03,STO1264,2,N,1,1,1,345821705,M,5-Jul-80,NO,SD23000157,C,Other,Credit/Debit Card,Cat B,18600
TRA98825858,1-Jan-03,STO1264,2,N,1,1,1,345821844,M,5-Jan-81,NO,SD23000187,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98823820,1-Jan-03,STO1277,2,N,1,1,1,345820329,F,28-Apr-80,NO,SD23011688,B,Advertisment,Cheque,Cat B,23400
TRA98824887,1-Jan-03,STO1256,2,N,1,1,1,345821114,M,9-Dec-80,NO,SD23011691,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825500,1-Jan-03,STO1271,2,N,1,2,1,345821562,M,12-Sep-79,YES,SD23012264,B,Advertisment,Cheque,Cat B,18000
TRA98826760,1-Jan-03,STO1285,2,N,1,2,1,345822519,M,10-Apr-79,NO,SD23011896,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98825915,1-Jan-03,STO1308,2,N,1,1,1,345821887,M,7-Apr-79,NO,SD23000404,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98825721,1-Jan-03,STO1233,2,N,1,1,1,345821743,M,29-Apr-78,NO,SD23011684,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98826463,1-Jan-03,STO1244,2,N,1,1,1,345822317,M,4-Nov-78,NO,SD23000169,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98824925,1-Jan-03,STO1247,2,N,1,2,1,345821141,F,13-Oct-78,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98825113,1-Jan-03,STO1247,2,N,1,1,1,345821276,M,21-Jul-78,NO,SD23000656,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98826377,1-Jan-03,STO1268,2,N,1,2,1,345822240,M,24-May-78,NO,SD23002923,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98824293,1-Jan-03,STO1268,2,N,1,1,1,345820677,M,21-Jun-78,YES,SD23006589,A,Walkin,Other,Cat B,22200
TRA98825082,1-Jan-03,STO1291,2,N,1,2,1,345821254,M,13-Oct-78,NO,SD23011738,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98825668,1-Jan-03,STO1291,2,N,3,1,1,345821696,M,6-Jun-78,YES,SD23011738,B,Advertisment,,Cat B,22200
TRA98825497,1-Jan-03,STO1247,2,N,1,2,1,345821558,M,6-Jan-78,NO,SD23000195,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98825817,1-Jan-03,STO1247,2,N,1,2,1,345821814,M,5-Jan-77,NO,SD23000349,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98826587,1-Jan-03,STO1291,2,N,1,1,1,345822404,M,23-Sep-77,YES,SD23011738,B,Advertisment,Cheque,Cat B,22200
TRA98826035,1-Jan-03,STO1308,2,N,1,2,1,345821980,M,10-May-77,NO,SD23011962,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98823860,1-Jan-03,STO1319,2,N,1,1,1,345820355,M,4-Jan-78,NO,SD23001812,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98825456,1-Jan-03,STO1239,2,N,1,2,1,345821530,F,1-Oct-76,NO,SD23011763,B,Advertisment,Cheque,Cat B,22200
TRA98824388,1-Jan-03,STO1247,2,N,1,2,1,345820742,M,19-Nov-76,NO,SD23000230,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98826699,1-Jan-03,STO1252,2,N,1,1,1,345822480,M,3-Apr-76,YES,SD23011960,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98826526,1-Jan-03,STO1394,2,N,1,1,1,345822359,M,17-Jul-76,NO,SD23012145,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825128,1-Jan-03,STO1283,2,N,1,1,1,345821283,M,23-Apr-76,NO,SD23011682,B,Advertisment,Cheque,Cat B,19800
TRA98824550,1-Jan-03,STO1233,2,N,1,1,1,345820861,F,11-Nov-75,YES,SD23011684,B,Advertisment,Other,Cat B,22800
TRA98826814,1-Jan-03,STO1247,2,N,1,1,1,345822559,F,4-Jul-75,NO,SD23000157,C,Other,Cheque,Cat B,22200
TRA98825603,1-Jan-03,STO1247,2,N,1,2,1,345821645,F,6-Jan-76,NO,SD23000293,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98826502,1-Jan-03,STO1250,2,N,1,1,1,345822341,F,24-May-75,NO,SD23011854,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98824979,1-Jan-03,STO1264,2,N,1,2,1,345821184,M,24-Jun-75,NO,SD23000742,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98826428,1-Jan-03,STO1260,2,N,1,1,1,345822281,M,14-May-75,NO,SD23000176,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98826468,1-Jan-03,STO1308,2,N,1,1,1,345822319,F,13-Jun-75,NO,SD23011962,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98825840,1-Jan-03,STO1239,2,N,1,1,1,345821832,M,15-Jun-74,NO,SD23011763,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98824250,1-Jan-03,STO1247,2,N,1,2,1,345820650,M,5-Jan-75,NO,SD23000192,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98824841,1-Jan-03,STO1247,2,N,1,1,1,345821081,M,9-Jul-74,NO,SD23000577,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98825117,1-Jan-03,STO1264,2,N,1,1,1,345821278,F,5-Jan-75,NO,SD23000736,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98823813,1-Jan-03,STO1271,2,N,1,1,1,345820324,M,2-Nov-74,YES,SD23012264,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98825368,1-Jan-03,STO1283,2,N,1,1,1,345821468,M,9-Jun-74,NO,SD23011682,B,Advertisment,Cheque,Cat B,21000
TRA98823940,1-Jan-03,STO1247,2,N,1,1,1,345820418,F,5-Jan-73,NO,SD23000157,C,Other,Cash,Cat B,19800
TRA98826165,1-Jan-03,STO1247,2,N,1,1,1,345822075,F,11-Jul-73,NO,SD23011736,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825114,1-Jan-03,STO1264,2,N,1,1,1,345821277,M,26-Aug-73,NO,SD23000187,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825225,1-Jan-03,STO1285,2,N,1,1,1,345821364,F,14-Jun-73,NO,SD23011711,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98826175,1-Jan-03,STO1285,2,N,1,1,1,345822084,F,13-Oct-73,NO,SD23011896,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98823808,1-Jan-03,STO1358,2,N,3,1,1,345820322,M,2-Jun-73,NO,SD23000157,C,Other,,Cat B,21000
TRA98824110,1-Jan-03,STO1301,2,N,1,2,1,345820542,M,10-May-73,NO,SD23011740,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98824389,1-Jan-03,STO1333,2,N,1,1,1,345820744,M,6-Jan-74,NO,SD23000974,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98824318,1-Jan-03,STO1239,2,N,1,1,1,345820694,M,13-May-72,NO,SD23011763,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98826651,1-Jan-03,STO1239,2,N,1,1,1,345822444,M,27-Sep-72,NO,SD23011763,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98825756,1-Jan-03,STO1242,2,N,1,1,1,345821766,M,22-Feb-72,NO,SD23011707,B,Advertisment,Cash,Cat B,19200
TRA98825446,1-Jan-03,STO1244,2,N,1,1,1,345821523,M,3-Jan-73,NO,SD23000356,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98825339,1-Jan-03,STO1247,2,N,1,2,1,345821445,M,5-Jan-73,NO,SD23000258,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98824807,1-Jan-03,STO1247,2,N,1,1,1,345821058,F,5-May-72,NO,SD23000293,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98824743,1-Jan-03,STO1252,2,N,1,1,1,345821003,M,8-Feb-72,NO,SD23011960,B,Advertisment,Cash,Cat B,18600
TRA98825742,1-Jan-03,STO1264,2,N,1,2,1,345821757,M,13-Jul-72,NO,SD23000157,C,Other,Credit/Debit Card,Cat B,20400
TRA98825694,1-Jan-03,STO1297,3,N,1,1,1,345821720,M,9-Oct-72,NO,SD23021288,A,Walkin,Credit/Debit Card,Cat B,19800
TRA98824659,1-Jan-03,STO1291,2,N,1,1,1,345820943,M,5-Apr-72,YES,SD23011738,B,Advertisment,Cheque,Cat B,22800
TRA98826133,1-Jan-03,STO1256,2,N,1,1,1,345822052,M,14-Jul-72,NO,SD23011691,B,Advertisment,Cash,Cat B,22200
TRA98825591,1-Jan-03,STO1233,2,N,1,1,1,345821635,F,11-Jun-71,NO,SD23011684,B,Advertisment,Cheque,Cat B,20400
TRA98824762,1-Jan-03,STO1247,2,N,1,2,1,345821025,M,4-Jan-72,NO,SD23000277,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98826012,1-Jan-03,STO1264,2,N,1,2,1,345821966,M,4-Jan-72,NO,SD23000260,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98826254,1-Jan-03,STO1266,2,N,1,1,1,345822143,M,30-Mar-71,NO,SD23000439,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98826321,1-Jan-03,STO1336,2,N,1,1,1,345822196,M,6-Jun-71,NO,SD23003016,A,Walkin,Credit/Debit Card,Cat B,19800
TRA98825716,1-Jan-03,STO1244,2,N,1,2,1,345821738,M,15-Jan-70,NO,SD23000169,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98826816,1-Jan-03,STO1244,2,N,1,2,1,345822560,M,4-Mar-70,NO,SD23002661,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98826806,1-Jan-03,STO1247,2,N,1,1,1,345822549,M,5-Jan-71,NO,SD23000293,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98826317,1-Jan-03,STO1247,2,N,1,1,1,345822192,M,21-Jan-70,NO,SD23011736,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98824730,1-Jan-03,STO1264,2,N,1,2,1,345820992,M,5-Jan-71,NO,SD23000187,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98826446,1-Jan-03,STO1233,2,N,1,1,1,345822297,M,8-May-69,NO,SD23011684,B,Advertisment,Cash,Cat B,18000
TRA98826505,1-Jan-03,STO1239,2,N,1,1,1,345822343,M,12-Oct-69,NO,SD23011763,B,Advertisment,Cheque,Cat B,22200
TRA98823896,1-Jan-03,STO1241,2,N,1,1,1,345820384,M,6-Apr-69,YES,SD23000207,B,Advertisment,Cheque,Cat B,20400
TRA98826456,1-Jan-03,STO1241,2,N,1,2,1,345822307,M,16-Mar-69,NO,SD23000211,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98825989,1-Jan-03,STO1247,2,N,1,2,1,345821947,M,4-Mar-69,NO,SD23000349,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98824376,1-Jan-03,STO1291,2,N,1,1,1,345820734,F,15-Oct-69,NO,SD23011738,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98826023,1-Jan-03,STO1321,2,N,1,2,1,345821973,M,12-Feb-69,NO,SD23011714,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98826525,1-Jan-03,STO1365,2,N,1,1,1,345822357,M,27-Nov-69,YES,SD23012391,B,Advertisment,Other,Cat B,18000
TRA98825805,1-Jan-03,STO1247,2,N,1,1,1,345821808,M,13-Feb-68,NO,SD23000226,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825033,1-Jan-03,STO1281,2,N,1,1,1,345821224,F,30-Sep-68,NO,SD23000157,C,Other,Cheque,Cat B,21000
TRA98825084,1-Jan-03,STO1266,2,N,1,1,1,345821256,F,3-Jan-69,NO,SD23000439,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98825468,1-Jan-03,STO1239,2,N,1,2,1,345821539,M,19-Feb-67,YES,SD23011763,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98824664,1-Jan-03,STO1244,2,N,1,2,1,345820947,F,5-Jan-68,NO,SD23000356,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98824365,1-Jan-03,STO1244,2,N,1,1,1,345820727,M,4-Jan-68,NO,SD23000969,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825563,1-Jan-03,STO1264,2,N,1,1,1,345821609,F,6-Jan-68,NO,SD23002176,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98824725,1-Jan-03,STO1314,2,N,1,1,1,345820988,M,4-Jun-67,NO,SD23021263,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98825107,1-Jan-03,STO1256,2,N,1,1,1,345821272,M,10-May-67,YES,SD23011691,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98824803,1-Jan-03,STO1244,2,N,1,1,1,345821056,F,18-Mar-66,NO,SD23000169,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98824856,1-Jan-03,STO1247,2,N,1,2,1,345821093,M,6-Jan-67,NO,SD23000277,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825024,1-Jan-03,STO1247,2,N,1,2,1,345821217,F,21-Apr-66,NO,SD23002703,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98826275,1-Jan-03,STO1247,2,N,1,2,1,345822157,F,6-Jan-67,NO,SD23002703,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98824751,1-Jan-03,STO1264,2,N,1,2,1,345821012,F,5-Jan-67,NO,SD23001313,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98824608,1-Jan-03,STO1336,2,N,1,2,1,345820907,M,7-Jun-66,NO,SD23013286,A,Walkin,Credit/Debit Card,Cat B,22200
TRA98824798,1-Jan-03,STO1301,2,N,1,1,1,345821051,M,23-Oct-66,NO,SD23011740,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98825622,1-Jan-03,STO1365,2,N,1,1,1,345821658,M,5-Sep-66,YES,SD23012391,B,Advertisment,Cheque,Cat B,23400
TRA98824354,1-Jan-03,STO1331,2,N,1,2,1,345820718,F,6-Jan-67,NO,SD23001557,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98825589,1-Jan-03,STO1241,2,N,1,1,1,345821633,M,6-Apr-65,NO,SD23000157,C,Other,Credit/Debit Card,Cat B,24000
TRA98824387,1-Jan-03,STO1244,2,N,1,2,1,345820741,M,6-Jan-66,NO,SD23000314,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98824709,1-Jan-03,STO1247,2,N,1,2,1,345820977,M,11-Mar-65,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98826318,1-Jan-03,STO1247,2,N,1,2,1,345822194,M,6-Sep-65,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98826388,1-Jan-03,STO1247,2,N,1,1,1,345822252,F,10-Mar-65,NO,SD23000794,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98824462,1-Jan-03,STO1264,2,N,1,1,1,345820798,M,6-Jan-66,NO,SD23000933,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98824152,1-Jan-03,STO1264,2,N,1,1,1,345820572,M,21-Jan-65,NO,SD23011756,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98824177,1-Jan-03,STO1292,2,N,1,1,1,345820594,F,13-Jun-65,NO,SD23011857,B,Advertisment,Cheque,Cat B,19200
TRA98826828,1-Jan-03,STO1240,2,N,1,1,1,345822571,M,23-Feb-64,NO,SD23014025,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98825561,1-Jan-03,STO1244,2,N,1,2,1,345821607,F,5-Jan-65,NO,SD23002304,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825556,1-Jan-03,STO1247,2,N,1,2,1,345821604,F,5-Dec-64,NO,SD23000349,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98826810,1-Jan-03,STO1250,2,N,1,1,1,345822556,M,19-Mar-64,NO,SD23011854,B,Advertisment,Cheque,Cat B,22800
TRA98826136,1-Jan-03,STO1284,2,N,1,2,1,345822055,M,17-Apr-64,NO,SD23016875,B,Advertisment,Cash,Cat B,21600
TRA98826196,1-Jan-03,STO1266,2,N,1,1,1,345822101,M,4-Jan-65,NO,SD23000439,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98825066,1-Jan-03,STO1291,2,N,3,1,1,345821245,M,30-Dec-64,NO,SD23011738,B,Advertisment,Cheque,Cat B,18600
TRA98824176,1-Jan-03,STO1255,2,N,1,1,1,345820593,M,7-Dec-63,NO,SD23012671,B,Advertisment,Cash,Cat B,23400
TRA98825543,1-Jan-03,STO1308,2,N,1,1,1,345821594,M,14-Dec-63,NO,SD23011806,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98824444,1-Jan-03,STO1239,2,N,1,1,1,345820782,F,24-Jan-62,NO,SD23011763,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98824499,1-Jan-03,STO1242,2,N,1,1,1,345820826,M,14-May-62,YES,SD23011707,B,Advertisment,Cheque,Cat B,24000
TRA98826421,1-Jan-03,STO1244,2,N,1,1,1,345822276,F,6-Jan-63,NO,SD23000154,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98826328,1-Jan-03,STO1244,2,N,1,2,1,345822203,F,6-Jan-63,NO,SD23003177,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98825586,1-Jan-03,STO1247,2,N,1,2,1,345821630,M,4-Feb-62,NO,SD23000185,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98826246,1-Jan-03,STO1250,2,N,1,2,1,345822134,F,19-Jun-62,NO,SD23011854,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98825355,1-Jan-03,STO1271,2,N,1,1,1,345821455,F,5-Jun-62,NO,SD23012010,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98826771,1-Jan-03,STO1319,2,N,1,1,1,345822527,F,4-Jan-63,NO,SD23001867,B,Advertisment,Credit/Debit Card,Cat B,21000
TRA98825036,1-Jan-03,STO1233,2,N,1,1,1,345821226,F,4-Jan-62,YES,SD23011684,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825296,1-Jan-03,STO1314,2,N,1,1,1,345821407,M,17-Jul-61,YES,SD23021263,B,Advertisment,Other,Cat B,18600
TRA98823749,1-Jan-03,STO1291,2,N,1,2,1,345820271,F,21-Jun-61,NO,SD23011738,B,Advertisment,Cheque,Cat B,20400
TRA98825139,1-Jan-03,STO1244,2,N,1,2,1,345821296,M,3-Jan-61,NO,SD23000169,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825029,1-Jan-03,STO1244,2,N,1,2,1,345821220,M,5-Jan-61,NO,SD23001730,B,Advertisment,Credit/Debit Card,Cat B,21600
TRA98825914,1-Jan-03,STO1244,2,N,1,1,1,345821886,M,3-Jan-61,NO,SD23001988,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98825167,1-Jan-03,STO1247,2,N,1,1,1,345821317,M,5-Mar-60,NO,SD23000349,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98825079,1-Jan-03,STO1314,2,N,1,2,1,345821251,M,14-Jun-60,NO,SD23021263,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98825338,1-Jan-03,STO1321,2,N,1,1,1,345821444,M,8-Jan-60,NO,SD23011714,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98826189,1-Jan-03,STO1321,2,N,1,1,1,345821444,M,9-Jan-60,NO,SD23011714,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98825732,1-Jan-03,STO1321,2,N,1,1,1,345821751,M,9-Jan-60,NO,SD23011714,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98825363,1-Jan-03,STO1301,2,N,1,2,1,345821463,M,4-Jun-60,NO,SD23011740,B,Advertisment,Cash,Cat B,19800
TRA98824924,1-Jan-03,STO1414,2,N,1,1,1,345821139,M,9-Jan-60,YES,SD23001789,B,Reference,Cheque,Cat B,21000
TRA98824473,1-Jan-03,STO1235,2,N,1,1,1,345820807,F,10-Aug-59,NO,SD23012183,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98823949,1-Jan-03,STO1247,2,N,1,2,1,345820427,M,4-Jan-60,NO,SD23000230,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98826540,1-Jan-03,STO1291,2,N,1,1,1,345822368,M,18-Sep-59,NO,SD23011738,B,Advertisment,Cheque,Cat B,22200
TRA98826563,1-Jan-03,STO1244,2,N,1,2,1,345822385,M,7-Jun-58,NO,SD23001035,B,Advertisment,Credit/Debit Card,Cat B,24000
TRA98826532,1-Jan-03,STO1247,2,N,1,1,1,345822362,M,12-Feb-58,NO,SD23000577,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98824313,1-Jan-03,STO1340,2,N,1,1,1,345745188,M,18-Nov-58,NO,SD23011837,A,Walkin,Credit/Debit Card,Cat B,24000
TRA98824227,1-Jan-03,STO1266,2,N,1,1,1,345820632,M,20-Nov-58,NO,SD23000439,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98825320,1-Jan-03,STO1276,2,N,1,1,1,345821427,F,6-Jan-59,NO,SD23000250,B,Advertisment,Credit/Debit Card,Cat B,22200
TRA98825944,1-Jan-03,STO1291,2,N,1,1,1,345821911,M,29-Jan-58,NO,SD23011738,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825666,1-Jan-03,STO1371,2,N,1,1,1,345821694,M,5-Nov-58,NO,SD23000828,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98826653,1-Jan-03,STO1247,2,N,1,1,1,345822446,M,5-Jan-58,NO,SD23000157,C,Other,Cheque,Cat B,18600
TRA98825619,1-Jan-03,STO1247,2,N,1,1,1,345821654,M,4-Jan-58,NO,SD23000235,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98826454,1-Jan-03,STO1264,2,N,1,2,1,345822305,F,3-Jan-57,NO,SD23000916,B,Advertisment,Credit/Debit Card,Cat B,20400
TRA98825718,1-Jan-03,STO1260,2,N,1,2,1,345821740,M,6-Mar-56,NO,SD23000700,B,Advertisment,Credit/Debit Card,Cat B,18600
TRA98825950,1-Jan-03,STO1291,2,N,1,1,1,345821917,M,3-Jun-56,NO,SD23011738,B,Advertisment,Cash,Cat B,20400
TRA98823970,1-Jan-03,STO1244,2,N,1,1,1,345820448,M,6-Jan-56,NO,SD23000169,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98825506,1-Jan-03,STO1247,2,N,1,2,1,345821564,M,16-Feb-55,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,23400
TRA98824875,1-Jan-03,STO1247,2,N,1,2,1,345821105,M,4-Jan-56,NO,SD23002703,B,Advertisment,Credit/Debit Card,Cat B,19200
TRA98824739,1-Jan-03,STO1243,2,N,1,1,1,345820999,M,15-Mar-54,NO,SD23012337,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825894,1-Jan-03,STO1247,2,N,1,1,1,345821870,F,15-Feb-54,NO,SD23000217,B,Advertisment,Credit/Debit Card,Cat B,19800
TRA98824104,1-Jan-03,STO1282,2,N,1,1,1,345820539,F,2-Nov-54,NO,SD23012513,B,Advertisment,Credit/Debit Card,Cat B,20400
